Year,East,West,Total
1991,687,580,1267
1991,828,650,1478
1992,904,940,1844
1995,669,787,1456
1995,917,906,1823
1996,1223,1054,2277
1996,1452,1178,2630
1997,906,1335,2241
1997,797,918,1715
1998,1110,908,2018
1999,842,1023,1865
1999,900,1123,2023
1999,960,1400,2360
2000,634,1012,1646
2000,1138,1085,2223
2001,1559,1741,3300
2002,864,894,1758
2003,1703,1140,2843
2003,1813,1314,3127
2003,1705,1311,3016
2004,1198,1307,2505
2005,1594,1549,3143
2006,1639,1474,3113
2007,1414,1403,2817
2009,2148,1654,3802
2010,2780,2297,5077
2011,2432,2402,4834
2014,2315,2509,4824
2015,3333,2730,6063
2016,3292,2958,6250
2017,3488,3132,6620
2018,3731,2400,6131
